id,genus,species,common_name,noc_id,authority,family,similar_species,subfamily
1697,Euxoa,mitis,,93-3473,"(Smith, 1894)",Noctuidae,euxoa-moerens|euxoa-difformis|euxoa-misturata|euxoa-cona,Noctuinae
1698,Xestia,tecta,,93-3602,"(HÃ¼bner, [1808])",Noctuidae,xestia-okakensis,Noctuinae
1699,Cerastis,salicarum,Willow Dart Moth,93-3542,"(Walker, 1857)",Noctuidae,agrotis-vancouverensis,Noctuinae
1700,Rivula,propinqualis,Spotted Grass Moth,93-0592,"GuenÃ©e, 1854",Erebidae,phalaenostola-metonalis,Rivulinae
1701,Lasionycta,pulverea,,93-3007,"Crabo & Lafontaine, 2009",Noctuidae,lasionycta-macleani|lasionycta-promulsa,Noctuinae
1702,Euxoa,excogita,,93-3416,"(Smith, 1900)",Noctuidae,euxoa-brunneigera|euxoa-perpolita|euxoa-comosa|apamea-cogitata|euxoa-ochrogaster|euxoa-lewisi,Noctuinae
1703,Catocala,allusa,,93-0801,"Hulst, 1884",Erebidae,catocala-californica|catocala-briseis|catocala-faustina,Erebinae
1704,Cucullia,eurekae,,93-1525,"Poole, 1995",Noctuidae,cucullia-antipoda,Cuculliinae
1705,Acronicta,grisea,Gray Dagger Moth,93-1433,"Walker, 1856",Noctuidae,acronicta-radcliffei,Acronictinae
1706,Plagiomimicus,expallidus,,93-1663,"Grote, 1883",Noctuidae,plagiomimicus-spumosum,Amphipyrinae
1707,Anagrapha,falcifera,Celery Looper Moth,93-1234,"(W. Kirby, 1837)",Noctuidae,autographa-pasiphaeia,Plusiinae
1708,Lasionycta,perplexa,,93-2988,"(Smith, [1888])",Noctuidae,lasionycta-subfuscula|lasionycta-perplexella,Noctuinae
1709,Spaelotis,clandestina,Clandestine Dart Moth,93-3554,"(Harris, 1841)",Noctuidae,graphiphora-augur|spaelotis-bicava,Noctuinae
1710,Pseudeva,palligera,,93-1185,"(Grote, 1881)",Noctuidae,pseudeva-purpurigera,Plusiinae
