row_index,species_slug,latitude,longitude,state,county,outcome,district_id,distance_km,notes
255,feltia-jaculifera,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
256,copablepharon-viridisparsa,47.564,-120.783,WA,Chelan,assigned-contained,US:53007,,
257,feltia-herilis,49.117,-116.163,BC,Central Kootenay,assigned-contained,CA:5903,,
258,feltia-jaculifera,42.599,-114.759,ID,Twin Falls,assigned-contained,US:16083,,
259,feltia-jaculifera,51.583,-119.716,BC,Thompson-Nicola,assigned-contained,CA:5933,,
260,dichagyris-variabilis,48.484,-123.36,BC,Capital,assigned-contained,CA:5917,,
261,protogygia-album,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
262,copablepharon-spiritum,49.033,-119.45,BC,Okanagan-Similkameen,assigned-contained,CA:5907,,
263,copablepharon-spiritum,46.89,-119.95,WA,Grant,assigned-contained,US:53025,,
264,copablepharon-mutans,46.89,-119.95,WA,Grant,assigned-contained,US:53025,,
265,dichagyris-variabilis,46.731,-117.179,WA,Whitman,assigned-contained,US:53075,,
266,dichagyris-variabilis,46.731,-117.179,WA,Whitman,assigned-contained,US:53075,,
267,dichagyris-variabilis,46.731,-117.179,WA,Whitman,assigned-contained,US:53075,,
268,dichagyris-variabilis,46.731,-117.179,WA,Whitman,assigned-contained,US:53075,,
269,dichagyris-variabilis,45.899,-120.713,WA,Klickitat,assigned-contained,US:53039,,
270,feltia-jaculifera,49.2,-124.033,BC,Nanaimo,assigned-contained,CA:5921,,
271,dichagyris-variabilis,48.612,-118.207,WA,Ferry,assigned-contained,US:53019,,
272,feltia-jaculifera,49.2,-124.033,BC,Nanaimo,assigned-contained,CA:5921,,
273,dichagyris-variabilis,48.61,-118.212,WA,Ferry,assigned-contained,US:53019,,
274,apantesis-behrii,42.258,-123.097,OR,Josephine,assigned-contained,US:41029,,
275,dichagyris-variabilis,47.499,-119.917,WA,Douglas,assigned-contained,US:53017,,
276,feltia-jaculifera,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
277,feltia-jaculifera,49.775,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
278,dichagyris-variabilis,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
279,feltia-jaculifera,49.783,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
280,feltia-jaculifera,53.3,-120.166,BC,Fraser-Fort George,assigned-contained,CA:5953,,
281,dichagyris-variabilis,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
282,feltia-jaculifera,49.783,-115.733,BC,East Kootenay,assigned-contained,CA:5901,,
283,dichagyris-variabilis,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
284,feltia-jaculifera,49.5,-115.766,BC,East Kootenay,assigned-contained,CA:5901,,
285,dichagyris-variabilis,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
286,feltia-jaculifera,50.154,-115.817,BC,East Kootenay,assigned-contained,CA:5901,,
287,dichagyris-variabilis,49.533,-117.417,BC,Central Kootenay,assigned-contained,CA:5903,,
288,feltia-jaculifera,48.655,-123.556,BC,Cowichan Valley,assigned-contained,CA:5919,,
289,dichagyris-variabilis,49.5,-117.283,BC,Central Kootenay,assigned-contained,CA:5903,,
290,feltia-jaculifera,48.816,-123.613,BC,Cowichan Valley,assigned-contained,CA:5919,,
291,dichagyris-variabilis,49.5,-117.283,BC,Central Kootenay,assigned-contained,CA:5903,,
292,dichagyris-variabilis,50.5,-119.833,BC,Thompson-Nicola,assigned-contained,CA:5933,,
293,feltia-jaculifera,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
294,dichagyris-variabilis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
295,feltia-jaculifera,50.7,-119.217,BC,Columbia-Shuswap,assigned-contained,CA:5939,,
296,feltia-jaculifera,49.333,-117.682,BC,Central Kootenay,assigned-contained,CA:5903,,
297,dichagyris-variabilis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
298,dichagyris-variabilis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
299,feltia-jaculifera,49.333,-117.682,BC,Central Kootenay,assigned-contained,CA:5903,,
300,dichagyris-variabilis,49.1,-116.45,BC,Central Kootenay,assigned-contained,CA:5903,,
301,feltia-jaculifera,49.5,-117.283,BC,Central Kootenay,assigned-contained,CA:5903,,
302,dichagyris-variabilis,49.5,-115.766,BC,East Kootenay,assigned-contained,CA:5901,,
303,dichagyris-variabilis,51.927,-122.337,BC,Cariboo,assigned-contained,CA:5941,,
304,feltia-jaculifera,49.117,-116.163,BC,Central Kootenay,assigned-contained,CA:5903,,
305,dichagyris-variabilis,51.927,-122.337,BC,Cariboo,assigned-contained,CA:5941,,
