species_slug,latitude,longitude,year,outcome,county_before,county_after,district_id_after,notes
feltia-jaculifera,49.783,-115.733,1997,filled,East Kootenay,East Kootenay,CA:5901,
dichagyris-variabilis,49.533,-117.417,1994,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.5,-115.766,1991,filled,East Kootenay,East Kootenay,CA:5901,
dichagyris-variabilis,49.533,-117.417,1987,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,50.154,-115.817,1986,filled,East Kootenay,East Kootenay,CA:5901,
dichagyris-variabilis,49.533,-117.417,1987,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,48.655,-123.556,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
dichagyris-variabilis,49.5,-117.283,1966,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,48.816,-123.613,,filled,Cowichan Valley,Cowichan Valley,CA:5919,
dichagyris-variabilis,49.5,-117.283,1966,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,50.5,-119.833,1989,filled,Thompson-Nicola,Thompson-Nicola,CA:5933,
feltia-jaculifera,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
dichagyris-variabilis,49.1,-116.45,1986,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,50.7,-119.217,,filled,Columbia-Shuswap,Columbia-Shuswap,CA:5939,
feltia-jaculifera,49.333,-117.682,1943,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,49.1,-116.45,1980,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,49.1,-116.45,1984,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.333,-117.682,1942,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,49.1,-116.45,1980,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.5,-117.283,1966,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,49.5,-115.766,1991,filled,East Kootenay,East Kootenay,CA:5901,
dichagyris-variabilis,51.927,-122.337,1996,filled,Cariboo,Cariboo,CA:5941,
feltia-jaculifera,49.117,-116.163,1992,filled,Central Kootenay,Central Kootenay,CA:5903,
dichagyris-variabilis,51.927,-122.337,1996,filled,Cariboo,Cariboo,CA:5941,
feltia-jaculifera,49.117,-116.163,1993,filled,Central Kootenay,Central Kootenay,CA:5903,
feltia-jaculifera,49.1,-116.45,1982,filled,Central Kootenay,Central Kootenay,CA:5903,
