path,unit,bytes,species_slug,shape,detail
grammia-nevadensis/Grammia nevadensis-C-V.jpg,object,140060,grammia-nevadensis,photo-no-row,no row in data/images.csv; grammia-nevadensis is not in data/species.csv
grammia-nevadensis/Grammia nevadensis-D-D.jpg,object,141532,grammia-nevadensis,photo-no-row,no row in data/images.csv; grammia-nevadensis is not in data/species.csv
grammia-nevadensis/Grammia nevadensis-D-V.jpg,object,130932,grammia-nevadensis,photo-no-row,no row in data/images.csv; grammia-nevadensis is not in data/species.csv
grammia-ornata/Grammia ornata-A-D.jpg,object,149537,grammia-ornata,photo-no-row,no row in data/images.csv; grammia-ornata is not in data/species.csv
grammia-ornata/Grammia ornata-A-V.jpg,object,140424,grammia-ornata,photo-no-row,no row in data/images.csv; grammia-ornata is not in data/species.csv
grammia-ornata/Grammia ornata-B-D.jpg,object,149129,grammia-ornata,photo-no-row,no row in data/images.csv; grammia-ornata is not in data/species.csv
grammia-ornata/Grammia ornata-B-V.jpg,object,145585,grammia-ornata,photo-no-row,no row in data/images.csv; grammia-ornata is not in data/species.csv
grammia-ornata/Grammia ornata-C-D.jpg,object,142124,grammia-ornata,photo-no-row,no row in data/images.csv; grammia-ornata is not in data/species.csv
grammia-ornata/Grammia ornata-C-V.jpg,object,131983,grammia-ornata,photo-no-row,no row in data/images.csv; grammia-ornata is not in data/species.csv
grammia-parthenice/Grammia parthenice-A-D.jpg,object,140090,grammia-parthenice,photo-no-row,no row in data/images.csv; grammia-parthenice is not in data/species.csv
grammia-parthenice/Grammia parthenice-A-V.jpg,object,135187,grammia-parthenice,photo-no-row,no row in data/images.csv; grammia-parthenice is not in data/species.csv
grammia-quenseli/Grammia quenseli-A-D.jpg,object,162095,grammia-quenseli,photo-no-row,no row in data/images.csv; grammia-quenseli is not in data/species.csv
grammia-quenseli/Grammia quenseli-A-V.jpg,object,153797,grammia-quenseli,photo-no-row,no row in data/images.csv; grammia-quenseli is not in data/species.csv
grammia-quenseli/Grammia quenseli-B-D.jpg,object,148170,grammia-quenseli,photo-no-row,no row in data/images.csv; grammia-quenseli is not in data/species.csv
grammia-quenseli/Grammia quenseli-B-V.jpg,object,142769,grammia-quenseli,photo-no-row,no row in data/images.csv; grammia-quenseli is not in data/species.csv
grammia-speciosa/Grammia speciosa-A-D.jpg,object,153015,grammia-speciosa,photo-no-row,no row in data/images.csv; grammia-speciosa is not in data/species.csv
grammia-speciosa/Grammia speciosa-A-V.jpg,object,152734,grammia-speciosa,photo-no-row,no row in data/images.csv; grammia-speciosa is not in data/species.csv
grammia-virgo/Grammia virgo-A-D.jpg,object,142453,grammia-virgo,photo-no-row,no row in data/images.csv; grammia-virgo is not in data/species.csv
grammia-virgo/Grammia virgo-A-V.jpg,object,136367,grammia-virgo,photo-no-row,no row in data/images.csv; grammia-virgo is not in data/species.csv
grammia-virguncula/Grammia virguncula-A-D.jpg,object,144040,grammia-virguncula,photo-no-row,no row in data/images.csv; grammia-virguncula is not in data/species.csv
grammia-virguncula/Grammia virguncula-A-V.jpg,object,138983,grammia-virguncula,photo-no-row,no row in data/images.csv; grammia-virguncula is not in data/species.csv
grammia-williamsii/Grammia williamsii-A-D.jpg,object,139770,grammia-williamsii,photo-no-row,no row in data/images.csv; grammia-williamsii is not in data/species.csv
grammia-williamsii/Grammia williamsii-A-V.jpg,object,138000,grammia-williamsii,photo-no-row,no row in data/images.csv; grammia-williamsii is not in data/species.csv
grammia-yukona/Grammia yukona-A-D.jpg,object,122638,grammia-yukona,photo-no-row,no row in data/images.csv; grammia-yukona is not in data/species.csv
grammia-yukona/Grammia yukona-A-V.jpg,object,117740,grammia-yukona,photo-no-row,no row in data/images.csv; grammia-yukona is not in data/species.csv
grammia-yukona/Grammia yukona-B-D.jpg,object,130856,grammia-yukona,photo-no-row,no row in data/images.csv; grammia-yukona is not in data/species.csv
grammia-yukona/Grammia yukona-B-V.jpg,object,130169,grammia-yukona,photo-no-row,no row in data/images.csv; grammia-yukona is not in data/species.csv
gynaephora-rossi/Gynaephora rossi-A-D.jpg,object,165615,gynaephora-rossi,photo-no-row,no row in data/images.csv; gynaephora-rossi is not in data/species.csv
gynaephora-rossi/Gynaephora rossi-A-V.jpg,object,153308,gynaephora-rossi,photo-no-row,no row in data/images.csv; gynaephora-rossi is not in data/species.csv
gynaephora-rossi/Gynaephora rossi-B-D.jpg,object,140454,gynaephora-rossi,photo-no-row,no row in data/images.csv; gynaephora-rossi is not in data/species.csv
